m1,n1,m2,n2,cuda_times,lin_scale_times,cuda_average,lin_scale_average,speed_up
200.0,16.0,200.0,16.0,"[7.48954, 8.33469, 11.3903, 8.76774, 7.39558]","[1.20192, 1.04483, 1.75933, 1.0776, 1.06778]",8.9720775,1.237385,7.2508374515611544
200.0,32.0,200.0,32.0,"[17.4184, 16.0031, 17.1415, 16.4618, 17.5523]","[1.7537, 1.6503, 2.5856, 1.71194, 1.38461]",16.789675,1.8331125,9.159107801621559
200.0,64.0,200.0,64.0,"[48.8124, 49.0762, 50.6495, 44.1486, 39.8041]","[2.45302, 2.69517, 2.92438, 2.84397, 2.21427]",45.9196,2.6694475000000004,17.201911631526748
200.0,2.0,400.0,2.0,"[5.39005, 4.10541, 4.06496, 3.80147, 5.28115]","[0.775008, 0.858176, 0.900512, 0.837728, 0.840832]",4.3132475,0.8593120000000001,5.019419605451803
200.0,4.0,400.0,4.0,"[4.5409, 5.1881, 8.02826, 5.19024, 5.28467]","[0.948224, 1.16941, 0.888832, 1.23261, 1.2616]",5.922817500000001,1.1381130000000002,5.204068049481905
200.0,8.0,400.0,8.0,"[7.51338, 9.71325, 7.99757, 7.06982, 8.27549]","[2.50675, 1.08749, 1.37712, 1.03424, 1.09709]",8.264032499999999,1.148985,7.192463348085484
200.0,16.0,400.0,16.0,"[15.2834, 13.2584, 12.8736, 15.5116, 13.8322]","[1.40525, 1.23552, 1.21165, 1.23942, 1.20486]",13.86895,1.2228625,11.341381389976387
200.0,32.0,400.0,32.0,"[28.7685, 30.5457, 29.685, 30.0749, 31.9099]","[3.08838, 1.70211, 2.54157, 2.01318, 1.63734]",30.553874999999998,1.9735500000000001,15.481682754427299
200.0,64.0,400.0,64.0,"[76.9595, 60.4627, 72.9221, 62.2008, 59.1565]","[2.26304, 2.17206, 3.71072, 2.14426, 2.57002]",63.685525,2.6492649999999998,24.03894098929326
200.0,2.0,800.0,2.0,"[5.92656, 4.83882, 3.964, 6.75907, 4.36166]","[1.04202, 1.27616, 1.10054, 1.60781, 1.09978]",4.980887500000001,1.2710725,3.918649408275295
200.0,4.0,800.0,4.0,"[7.1048, 6.33258, 8.47258, 7.9584, 6.52851]","[1.34234, 1.56877, 1.40282, 1.38493, 1.60086]",7.323017500000001,1.489345,4.916938318522573
200.0,8.0,800.0,8.0,"[13.3677, 13.6602, 11.4437, 14.779, 13.0779]","[1.79242, 1.47136, 1.67558, 1.44666, 3.49904]",13.2402,2.02316,6.544316811324858
200.0,16.0,800.0,16.0,"[23.4637, 23.454, 28.0125, 24.3221, 22.612]","[1.61786, 1.64269, 1.8489, 1.65882, 1.64605]",24.60015,1.699115,14.478213658286814
200.0,32.0,800.0,32.0,"[51.1852, 53.5185, 47.2908, 51.2068, 52.167]","[2.71318, 2.07773, 1.96774, 3.09808, 2.0904]",51.045775,2.3084875,22.112216332122223
200.0,64.0,800.0,64.0,"[129.049, 114.015, 104.444, 108.298, 116.048]","[2.73587, 2.73306, 2.93059, 2.67798, 2.65859]",110.70125,2.750055,40.254194916101675
400.0,2.0,100.0,2.0,"[2.39382, 2.52816, 5.44739, 4.00678, 2.92499]","[0.563552, 0.608256, 0.710656, 0.735072, 2.67405]",3.7268300000000005,1.1820084999999998,3.1529637900235077
400.0,4.0,100.0,4.0,"[3.10096, 4.95616, 3.88096, 3.93053, 5.5929]","[0.753088, 1.34886, 1.09456, 0.753728, 0.737184]",4.5901375,0.9835829999999999,4.666751560366538
400.0,8.0,100.0,8.0,"[5.33219, 4.31962, 4.68461, 7.09885, 5.84701]","[0.821248, 0.838336, 1.25907, 0.881312, 0.892768]",5.4875225,0.9678715,5.669680840896751
400.0,16.0,100.0,16.0,"[8.3903, 9.70547, 7.36698, 7.46906, 7.24582]","[1.01728, 0.987488, 1.07024, 0.999584, 1.04237]",7.946832499999999,1.0249205,7.7536086945280145
400.0,32.0,100.0,32.0,"[17.0924, 15.9955, 14.8644, 14.5635, 15.0637]","[1.41418, 1.42854, 1.82272, 1.92102, 1.40666]",15.121775,1.6447349999999998,9.194049497335438
400.0,64.0,100.0,64.0,"[44.1459, 42.1805, 41.1203, 40.2806, 41.8711]","[2.45146, 2.25306, 2.22624, 2.47082, 2.22893]",41.363125,2.2947625,18.02501348178733
400.0,2.0,200.0,2.0,"[3.10886, 2.90662, 3.01814, 3.11088, 3.03648]","[0.778432, 0.719456, 1.17565, 0.819808, 0.743008]",3.0180300000000004,0.8644805000000001,3.4911487303646527
400.0,4.0,200.0,4.0,"[4.49136, 4.24493, 4.44794, 4.47386, 4.07306]","[1.29542, 0.902976, 1.1289, 0.829824, 0.82208]",4.3099475,0.920945,4.679918453327831
400.0,8.0,200.0,8.0,"[6.48192, 6.56678, 8.0343, 6.48512, 6.52944]","[0.922464, 0.921952, 1.0017, 0.927744, 0.97168]",6.90391,0.9557690000000001,7.2234085851288325
400.0,16.0,200.0,16.0,"[12.002, 12.1118, 11.9235, 13.3052, 12.5316]","[1.11821, 1.09187, 1.09139, 1.28368, 1.10998]",12.468024999999999,1.1442299999999999,10.896432535416832
400.0,32.0,200.0,32.0,"[27.1852, 27.1708, 27.9593, 27.9488, 33.3763]","[1.51091, 1.50579, 1.55018, 1.50157, 1.53584]",29.1138,1.523345,19.111757349779598
400.0,64.0,200.0,64.0,"[74.9247, 57.5959, 58.3064, 64.9646, 68.4954]","[3.15322, 2.07469, 2.08474, 2.24349, 2.32038]",62.340575,2.180825,28.585776025128105
400.0,2.0,400.0,2.0,"[3.60243, 3.70102, 3.60394, 3.82966, 4.04483]","[0.827424, 0.806624, 0.776768, 0.825344, 0.852416]",3.7948625,0.8152879999999999,4.654628180471196
400.0,4.0,400.0,4.0,"[6.49466, 8.0345, 7.40259, 6.16205, 6.09427]","[1.01939, 1.09773, 0.982528, 0.979232, 0.96256]",6.9233525,1.0055125,6.885396750413347
400.0,8.0,400.0,8.0,"[11.5934, 12.3153, 11.0522, 11.0756, 11.7492]","[1.14893, 1.14781, 1.24173, 1.2841, 1.21366]",11.548075,1.221825,9.451496736439344
400.0,16.0,400.0,16.0,"[22.0789, 24.4876, 27.9834, 26.1733, 23.7122]","[1.30995, 1.34205, 2.04378, 1.32915, 1.34144]",25.589125,1.5141049999999998,16.9004956723609
400.0,32.0,400.0,32.0,"[51.0347, 51.9185, 51.7436, 56.3319, 52.6758]","[3.5321, 1.8168, 2.76426, 1.94547, 1.75482]",53.16745,2.0703375,25.68057140442078
400.0,64.0,400.0,64.0,"[119.627, 105.105, 110.67, 108.619, 106.961]","[3.44352, 2.90566, 2.45792, 2.41254, 2.36573]",107.83875,2.5354625000000004,42.532181012339954
400.0,2.0,800.0,2.0,"[5.28438, 5.71194, 6.21158, 7.83539, 6.10304]","[1.1735, 1.12125, 1.61843, 1.52166, 1.1967]",6.4654875,1.36451,4.738321815157089
400.0,4.0,800.0,4.0,"[11.5409, 11.1346, 10.7763, 13.3243, 12.2367]","[1.33734, 1.46829, 1.62294, 1.38854, 2.16534]",11.867975,1.6612775000000002,7.143884751343468
400.0,8.0,800.0,8.0,"[21.3812, 21.6597, 22.2153, 21.2541, 21.498]","[1.63427, 1.82038, 1.50118, 1.52448, 1.55238]",21.656775,1.5996050000000002,13.538826772859547
400.0,16.0,800.0,16.0,"[43.1596, 42.7049, 41.4578, 42.4264, 41.9039]","[2.11149, 2.29168, 1.83334, 1.84752, 3.4935]",42.12325,2.36651,17.7997346303206
400.0,32.0,800.0,32.0,"[98.5744, 89.6886, 100.058, 94.5453, 90.2431]","[2.59466, 3.2777, 2.17264, 1.99808, 2.15386]",93.63374999999999,2.40057,39.00479886027068
400.0,64.0,800.0,64.0,"[218.039, 216.308, 229.396, 221.703, 219.242]","[3.26022, 2.94138, 4.05046, 4.08566, 2.93146]",221.66224999999997,3.50224,63.29156482708209
800.0,2.0,100.0,2.0,"[2.98032, 2.91069, 3.24784, 3.42118, 3.54918]","[0.772032, 0.773504, 0.93184, 0.995264, 1.20192]",3.2822225,0.975632,3.364201358709021
800.0,4.0,100.0,4.0,"[6.40534, 5.50333, 5.53738, 4.59981, 4.07552]","[0.922976, 1.33398, 1.08365, 1.06291, 0.890528]",4.92901,1.092767,4.510577277681335
800.0,8.0,100.0,8.0,"[8.23533, 6.98339, 8.36637, 6.94886, 7.80691]","[1.20246, 1.14083, 1.73795, 1.05677, 1.02643]",7.5263825,1.2404950000000001,6.067241302867
800.0,16.0,100.0,16.0,"[14.6437, 14.3478, 14.4937, 14.5082, 13.9411]","[1.56208, 1.34586, 2.02957, 2.88762, 1.2249]",14.3227,1.8719875,7.65106604611409
